Karmn tess
J14368+583 298164374
J14371+756 156495054
J14376+677 233183565
J14388+422 154272185
J14415+064 371123982
J14423+660 219004642
J14438+667 219007045
J14469+170 119653406
J14472+570 293687906
J14485+101 457925111
J14501+323 9065215
J14511+311 9094160
J14524+123 229550884
J14525+001 461244610
J14538+235 311182575
J14544+161 258105174
J14544+355 284700100
J14548+099 349714736
J14549+411 28288523
J14557+072 402364319
J14564+168 445082470
J14574-214 ...
J14575+313 284711235
J14578+566 405503787
J15009+454 284266904
J15011+071 368897047
J15011+354 67707948
J15013+055 460356719
J15018+550 137841803
J15030+704 233190504
J15043+294 229887991
J15043+603 202425393
J15049-211 ...
J15060+453 161666492
J15073+249 229902009
J15079+762 257048637
J15081+623 202428362
J15095+031 471011908
J15100+193 ...
J15118-102 471016099
J15119+179 ...
J15126+457 233644917
J15147+645 202467073
J15151+333 16270248
J15156+638 282927120
J15166+391 20305594
J15188+292 357498523
J15191-127 ...
J15193+678 230062604
J15194-077 36853511
J15197+046 461310120
J15210+309 445872126
J15214+042 461323554
J15218+209 355793860
J15219+185 355810186
J15238+174 400019820
J15238+561 165720650
J15238+584 165721554
J15273+415 41700113
J15276+408 41700253
J15280+257 383523537
J15290+467 116415883
J15297+428 ...
J15305+094 393018418
J15319+288 ...
J15336+462 116486582
J15339+379 148785509
J15340+513 235564220
J15345+142 157084382
J15349-143 ...
J15353+177N ...
J15353+177S ...
J15357+221 258044393
J15368+375 148821302
J15369-141 386973129
J15386+371 321539507
J15400+434N ...
J15400+434S 155970641
J15412+759 160422712
J15416+184 137054397
J15421-194 ...
J15474+451 156067195
J15474-108 54509080
J15476+226 417521619
J15480+043 272594729
J15488+305 188540271
J15493+250 320333528
J15496+348 ...
J15496+510 286925748
J15499+796 159398282
J15501+009 272677626
J15512+306 334751800
J15513+295 284303881
J15531+347N 376664521
J15531+347S 376664523
J15538+641 229552665
J15555+352 376674429
J15557+686 272785770
J15569+376 29395460
J15578+090 347595137
J15581+494 310170499
J15583+354 188589164
J15587+346 310171805
J15597+440 417545885
J15598-082 49511355
J16008+403 24053447
J16017+301 188589409
J16017+304 188589486
J16018+304 188589485
J16028+205 229575381
J16033+175 393717630
J16043-062 49728036
J16046+263 236319132
J16048+391 24089801
J16054+769 160536086
J16062+290 236325118
J16066+083 461393935
J16074+059 462250914
J16082-104 49875539
J16090+529 162494287
J16092+093 277549382
J16102-193 49040478
J16120+033 462310204
J16139+337 471011946
J16144-028 74044229
J16145+191 ...
J16147+048 462339773
J16155+244 236378867
J16167+672N 230073588
J16167+672S 230073581
J16170+552 207436278
J16180+062 318712802
J16204-042 362576875
J16220+228 230222180
J16241+483 ...
J16247+229 258089647
J16254+543 207492082
J16255+260 310074866
J16255+323 ...
J16259+834 159503663
J16268-173 413762641
J16280+155 120030641
J16302-146 413946414
J16303-126 ...
J16313+408 255932726
J16315+175 148050431
J16327+126 471011959
J16328+098 291161401
J16342+543 199573444
J16343+571 199574208
J16354+350 8676350
J16360+088 319009465
J16395+505 274222567
J16401+007 281935723
J16403+676 230120143
J16408+363 57157803
J16420+192 258171360
J16462+164 279836279
J16465+345 219066411
J16487+106 264652949
J16487-157 12562726
J16508-048 157684888
J16509+224 287201692
J16528+630 289589923
J16529+400 458717822
J16542+119 284472488
J16554-083N 181589885
J16554-083S 181589861
J16555-083 471012515
J16570-043 189843364
J16573+124 459316941
J16573+271 236740512
J16574+777 441717318
J16577+132 353284326
J16578+473 115582980
J16581+257 236743275
J16584+139 353287103
J16587+688 356735146
J16591+209 345727464
J17003+253 236754003
J17006+063 291509053
J17010+082 291546956
J17027-060 41038121
J17033+514 274626553
J17038+321 21720503
J17043+169 263731898
J17052-050 ...
J17058+260 257210997
J17071+215 150585564
J17076+073 447804173
J17082+516 274725694
J17095+436 219085795
J17098+119 447844396
J17104+279 257398687
J17115+384 85463294
J17118-018 ...
J17121+456 471012596
J17136-084 1825871
J17146+269 257580386
J17153+049 467929202
J17158+190 230231375
J17160+110 459558974
J17166+080 459565648
J17177+116 459611421
J17177-118 170876775
J17183+181 233040803
J17183-017 58971112
J17198+265 257798328
J17198+417 ...
J17199+265 257798327
J17207+492 ...
J17219+214 345874162
J17225+055 327467027
J17242-043 124933062
J17276+144 ...
J17285+374 88780481
J17303+055 348277669
J17312+820 288314668
J17316+047 348489282
J17321+504 188826124
J17328+543 229690324
J17338+169 400361232
J17340+446 270363567
J17355+616 219780306
J17364+683 ...
J17376+220 349534426
J17378+185 230241767
J17386+612 219790149
J17388+080 291925042
J17395+277N 357626793
J17395+277S 357626805
J17419+407 157523061
J17421-088 ...
J17425-166 418062504
J17430+057 361188014
J17431+854 268319776
J17432-185 238220437
J17439+433 ...
J17455+468 193607307
J17460+246 460062281
J17464+277 ...
J17464-087 297812150
J17469+228 363955522
J17502+237 298609171
J17515+147 335059997
J17521+647 219822564
J17530+169 335294086
J17542+073 277491433
J17547+128 286514113
J17570+157 470669418
J17572+707 219095664
J17578+046 ...
J17578+465 193867007
J17589+807 288431277
J18010+508 233506486
J18022+642 233068870
J18027+375 ...
J18031+179 424782713
J18037+247 320586992
J18042+359 258395472
J18051-030 41378014
J18063+728 229589015
J18074+184 230268595
J18075-159 363838130
J18096+318 180760801
J18103+512 298649457
J18109+220 235604419
J18116+061 324605332
J18131+260 313988572
J18134+054 264535486
J18135+055 264535711
J18157+189 158116476
J18160+139 406883293
J18163+015 19510468
J18165+048 19667455
J18165+455 7773413
J18174+483 289726188
J18180+387E ...
J18180+387W ...
J18189+661 406857100
J18193-057 167688990
J18195+420 7802067
J18198-019 167913198
J18209-010 471012514
J18221+063 318639201
J18224+620 233691740
J18227+379 471012011
J18234+281 85262898
J18240+016 169296613
J18248+282 284276594
J18250+246 284271562
J18255+383 ...
J18264+113 25817002
J18292+638 233731818
J18296+338 24258977
J18312+068 405006176
J18319+406 289325518
J18346+401 289527642
J18352+243 322355401
J18352+414 289529778
J18353+457 122958010
J18354+457 123013596
J18356+329 ...
J18358+800 288634843
J18362+567 359497229
J18363+136 149338279
J18387+047 108037675
J18387-144 ...
J18394+690 229742951
J18395+298 316993844
J18395+301 68198255
J18399+334 68193640
J18400+726 229644973
J18402-104 197518398
J18405+595 359630395
J18409+315 ...
J18409-133 424934357
J18411+247N 317177580
J18411+247S 317177585
J18416+397 157853745
J18419+318 471012020
J18427+139 230345672
J18427+596N 359676790
J18427+596S 392572237
J18432+253 317565112
J18433+406 157955474
J18451+063 449263348
J18453+188 282043028
J18480-145 427835460
J18482+076 92923185
J18487+615 233573905
J18498-238 224752354
J18499+186 348922687
J18500+030 174060775
J18507+479 48189085
J18515+027 226324650
J18516+244 358243195
J18518+165 298514156
J18519+130 298617918
J18534+028 226747483
J18548+008 227096293
J18548+109 101285663
J18554+084 102107794
J18563+544 376930890
J18564+463 164669398
J18571+075 104987051
J18576+535 267574235
J18580+059 227642705
J18596+079 222495959
J19025+704 416193425
J19032+034 228757654
J19032+639 230386284
J19032-135 344149412
J19041+211 282653435
J19044+590 377293776
J19045+240 115572537
J19070+208 384491142
J19072+208 384673951
J19077+325 ...
J19082+265 420218639
J19084+322 42713455
J19093+382 121215012
J19093-147 469725550
J19095+391 121214976
J19098+176 ...
J19106+015 181254250
J19116+050 181547479
J19122+028 228846172
J19124+355 29702561
J19146+193N ...
J19146+193S ...
J19169+051N 176188045
J19169+051S 176178205
J19185+580 243317456
J19205-076 3567372
J19215+425 159310629
J19216+208 385368233
J19218+286 ...
J19220+070 132021980
J19228+307 394468047
J19234+666 259097905
J19237+797 235928358
J19242+755 420130591
J19242+797 235928353
J19251+283 110220637
J19255+096 133312726
J19260+244 110553661
J19268+167 68978927
J19284+289 111784356
J19289+066 134625460
J19312+361 137823194
J19326+005 113873448
J19336+395 138104312
J19346+045 213459719
J19349+532 ...
J19351+084N 135664650
J19351+084S 135664639
J19354+377 138362758
J19358+413 138431696
J19395+718 264222219
J19419+031 95155246
J19420-210 68796326
J19422-207 68795767
J19457+271 451852919
J19457+323 58085557
J19463+320 58338990
J19464+320 58338979
J19468-019 251739638
J19470+352 58553437
J19486+359 59705241
J19500+325 ...
J19502+317 83412711
J19510+104 408842762
J19511+464 273589987
J19512+622 256324377
J19535+341 86197107
J19539+444E 274127413
J19539+444W ...
J19540+325 86450618
J19546+202 263105734
J19558+512 416594571
J19564+591 165306325
J19565+591 165306319
J19573-125 48769737
J19582+020 398975486
J19582+650 256517649
J20005+593 233277573
J20011+002 421608772
J20034+298 239481097
J20037+644 256746748
J20038+059 345472607
J20039-081 70808387
J20050+544 ...
J20057+529 405902579
J20079-015 243748143
J20082+333 91215017
J20093-012 243800364
J20105+065 366684609
J20112+161 87216644
J20112+379 43303467
J20129+342 275833903
J20132+029 404498004
J20138+133 87942223
J20139+066 273425850
J20151+635 236899387
J20165+351 202680983
J20187+158 50979177
J20195+080 462377737
J20198+229 314051148
J20220+216 402820827
J20223+322 136324903
J20229+106 374529140
J20232+671 258547069
J20260+585 352617553
J20269+275 436235326
J20287-114 158569856
J20298+096 374416052
J20301+798 264052522
J20305+654 467254810
J20314+385 ...
J20336+617 352702345
J20337+233 417323700
J20339+643 352759798
J20347+033 471012076
J20349+592 276655797
J20367+388 64319380
J20373+219 406670485
J20403+616 343335500
J20405+154 ...
J20407+199 330871957
J20409-101 205693343
J20429-189 ...
J20433+553 ...
J20435+240 408479509
J20436+642 343564093
J20436-001 248209920
J20443+197 ...
J20445+089N 282750542
J20445+089S 282750547
J20450+444 239332587
J20488+197 224622900
J20496-003 248337071
J20519+691 387600431
J20525-169 262016943
J20532-023 248732099
J20533+621 365670764
J20535+106 375814255
J20549+675 387676042
J20556-140N 206169474
J20556-140S 471016272
J20567-104 ...
J20568-048 ...
J20574+223 266023510
J20586+342 236546180
J21000+400 471012467
J21001+495 289336448
J21012+332 428832332
J21013+332 428832333
J21014+207 258473872
J21019-063 35400809
J21027+349 162910758
J21044+455 273561757
J21048-169 ...
J21055+061 283552260
J21057+502 267145382
J21059+044 471012095
J21074+468 274662200
J21076-130 214570063
J21087-044N 364174342
J21087-044S 364174334
J21092-133 ...
J21100-193 99468646
J21109+294 298492201
J21123+359 166632400
J21127-073 423595154
J21137+087 321905370
J21138+180 85750764
J21145+508 62137012
J21147+380 167092174
J21152+257 297763950
J21160+298E 116818008
J21160+298W 116818008
J21164+025 387518186
J21173+208N 257448570
J21173+208S 257448568
J21173+640 329083521
J21176-089N 256794603
J21176-089S 256794610
J21185+302 117225312
J21221+229 283031851
J21243+085 288495727
J21245+400 279293709
J21267+037 352621507
J21272-068 187416457
J21275+340 160046215
J21277+072 305038897
J21280+179 426909726
J21283-223 99738392
J21296+176 ...
J21313-097 71600113
J21323+245 15458858
J21338+017N 352932354
J21338+017S 352932355
J21338-068 71700791
J21348+515 387744326
J21366+394 304966912
J21369+561 469539957
J21374-059 269155515
J21376+016 353053003
J21378+530 278336681
J21380+277 298712317
J21399+276 471012121
J21402+370 372254618
J21419+276 248066877
J21421-121 155707827
J21441+170N 301878803
J21441+170S 301878813
J21442+066 466335247
J21449+442 240617731
J21450+198 330213592
J21450-057 269467912
J21454-059 333372829
J21463+382 407688400
J21466+668 322391844
J21466-001 24350161
J21469+466 ...
J21472-047 24352777
J21478+502 395913693
J21479+058 270226668
J21481+014 270258756
J21482+279 ...
J21512+128 ...
J21518+136 385080085
J21521+056 388983974
J21521+274 326204080
J21539+417 418752004
J21566+197 330394881
J21569-019 471012295
J21574+081 396821545
J21584+755 366380782
J21585+612 412650616
J21593+418 84316376
J22012+283 283410775
J22012+323 161925765
J22018+164 303032027
J22020-194 206436687
J22021+014 292987389
J22033+674 372207328
J22035+036 317895520
J22051+051 418866358
J22057+656 334802883
J22058-119 50182746
J22060+393 261135533
J22063+173 60677589
J22067+034 418915228
J22088+117 468271912
J22095+118 456791829
J22096-046 248027247
J22097+410 119487103
J22107+079 468289109
J22112+410 119578924
J22112-025 248033161
J22114+409 119578910
J22115+184 258822427
J22117-207 ...
J22125+085 468309671
J22129+550 329871001
J22134-147 437698837
J22135+259 27957977
J22137-176 471012766
J22138+052 415708374
J22142+255 27960046
J22154+662 367279806
J22160+546 330736474
J22163+709 367337817
J22173-088N 471012342
J22173-088S 38298827
J22176+565 343130843
J22202+067 415830853
J22212+377 120236683
J22228+280 20662179
J22231-176 471012250
J22234+324 164170728
J22249+520 467465371
J22250+356 164262236
J22252+594 428238233
J22262+030 265916263
J22264+583 413746153
J22270+068 419813032
J22279+576 471012608
J22287+189 411342245
J22289-134 12774230
J22290+016 271997555
J22298+414 ...
J22300+488 249695222
J22330+093 418978178
J22333-096 250976348
J22347+040 293117088
J22348-010 125238505
J22353+746 367007847
J22361-008 125250745
J22373+299 115689489
J22374+395 128627365
J22385-152 402313808
J22387+252 43922050
J22387-206N 262039243
J22387-206S 262039241
J22406+445 299209219
J22415+188 467549713
J22415+260 118038152
J22426+176 379746744
J22433+221 434185305
J22437+192 434187831
J22440+405 128926676
J22441+405 128926677
J22457+016 422046037
J22464-066 249650510
J22468+443 ...
J22476+184 ...
J22479+318 100800733
J22489+183 435820159
J22503-070 36595140
J22506+348 ...
J22507+286 44195067
J22509+499 67149557
J22518+317 188878355
J22524+099 318705111
J22526+750 367359428
J22532-142 188580272
J22543+609 ...
J22547-054 224222042
J22559+057 311551677
J22559+178 91210226
J22565+165 ...
J22576+373 346339563
J23028+436 155113423
J23036+097 344145100
J23045+667 427555426
J23051+452 455793877
J23051+519 252628551
J23060+639 435160829
J23063+126 217857936
J23064-050 ...
J23065+717 279606581
J23075+686 264992033
J23081+033 310990132
J23083-154 5656273
J23088+065 402891878
J23089+551 315301271
J23096-019 278954030
J23107-192 471015566
J23113+085 402934167
J23121-141 5738528
J23142-196N 204390135
J23142-196S 204390135
J23161+067 402375302
J23166+196 425652947
J23174+196 243069479
J23174+382 127338744
J23175+063 423299828
J23182+462 173766003
J23182+795 398325455
J23193+154 435191721
J23194+790 398325056
J23215+568 319189540
J23216+172 ...
J23220+569 319304135
J23228+787 429000467
J23229+372 259187680
J23234+155 ...
J23245+578 427162854
J23249+506 431711131
J23252+009 422485088
J23256+531 ...
J23261+170 435230933
J23262+088 354307490
J23262+278 269726128
J23265+121 ...
J23293+414N 352503796
J23293+414S 352503797
J23301-026 38335395
J23302-203 9210746
J23308+157 435246332
J23317-027 250081915
J23318+199E ...
J23318+199W ...
J23323+540 251945107
J23327-167 434103039
J23340+001 ...
J23350+016 422618003
J23350+252 120731344
J23351-023 471016474
J23354+300 366036686
J23357+419 333421244
J23364+554 252077943
J23376-128 434105094
J23381-162 434106275
J23386+391 333560381
J23389+210 406539396
J23401+606 271751654
J23414+200 113494080
J23419+441 ...
J23423+349 432420381
J23428+308 432484802
J23431+365 352593978
J23438+325 288144878
J23438+610 272230783
J23439+647 272335628
J23443+216 113545174
J23455-161 2760232
J23462+284 269744862
J23480+490 431515565
J23489+098 471012241
J23492+024 267255253
J23492+100 408411944
J23496+083 402993451
J23505-095 9697711
J23506+099 408412672
J23509+384 455759556
J23517+069 408421962
J23523-146 471012294
J23535+121 302129278
J23541+516 431690130
J23544+081 408425022
J23548+385 291689873
J23554-039 248610583
J23556-061 9759680
J23560+150 411473241
J23569+230 437710759
J23573-129E 471016669
J23573-129W 441054737
J23577+197 283788194
J23577+233 283789204
J23578+386 291836643
J23582-174 441056236
J23585+076 408486498
J23587+467 177638351
J23590+208 283822717
J23598+477 ...
