Karmn tess
J03242+237 25909530
J03247+447 385198959
J03257+058 299496195
J03263+171 303524832
J03267+192 456938518
J03272+273 471011398
J03275+222 25965600
J03284+352 417830645
J03286-156 93032255
J03288+264 405461330
J03303+346 90567792
J03308+542 316627328
J03309+706 85372314
J03317+143 ...
J03325+287 46504038
J03332+462 65203525
J03340+585 316965103
J03346-048 301425042
J03361+313 90768237
J03366+034 311092148
J03372+691 275911914
J03375+178N 435308534
J03375+178S 435308532
J03394+249 427580415
J03396+254E 427580190
J03396+254W 427580188
J03397+334 101133930
J03416+552 450182870
J03430+459 431860011
J03433-095 38511303
J03437+166 434136638
J03438+166 434136640
J03445+349 101222257
J03454+729 289663523
J03455+703 280686841
J03459+147 434160946
J03463+262 125736050
J03467+821 358031776
J03467-112 38588060
J03473+086 468889408
J03473-019 333680372
J03479+027 453833488
J03480+686 85623046
J03486+735 319555654
J03505+634 392946699
J03507-060 38631589
J03510+142 388978401
J03510-008 401945077
J03519+397 424118400
J03526+170 ...
J03531+625 393080288
J03543-146 279482950
J03544-091 55440537
J03548+163 242945879
J03565+319 94541786
J03567+039 429123688
J03574-011 49934959
J03586+520 265756555
J03588+125 ...
J03598+260 ...
J04011+513 266041067
J04056+057 464779505
J04059+712E 102607682
J04059+712W 102607689
J04061-055 269634384
J04077+142 348663813
J04079+142 348663808
J04081+743 103179032
J04083+691 102680111
J04086+336 467729221
J04093+057 396862832
J04108-128 332623751
J04112+495 267419850
J04122+647 84649454
J04123+162 389083906
J04129+526 267698000
J04131+505 267703071
J04137+476 259898608
J04139+829 401533007
J04148+277 56627695
J04153-076 67772873
J04166-125 70899190
J04173+088 283866910
J04177+410 143499878
J04188+013 454121326
J04191+097 365463946
J04191-074 67858914
J04198+425 347994537
J04199+364 367647436
J04205+815 420755691
J04206+272 58367096
J04207+152 435916078
J04218+213 17307733
J04219+213 ...
J04219+751 103348849
J04221+192 17308750
J04224+036 454153455
J04224+740 103348156
J04225+105 372896796
J04225+390 367770625
J04227+205 17310668
J04229+259 58475730
J04234+495 470431262
J04234+809 289798581
J04238+092 372917714
J04238+149 435930877
J04247-067 37904598
J04248+324 286564085
J04251+515 470454712
J04252+080N 372951467
J04252+080S 372951475
J04252+172 60874953
J04274+203 17513354
J04276+595 8890043
J04278+117 373027374
J04284+176 245791900
J04290+219 17558287
J04293+142 456893330
J04294+262 268149169
J04302+708 280882968
J04304+398 238865036
J04308-088 38041444
J04310+367 238887530
J04311+589 356322721
J04312+422 28503886
J04313+241 268281426
J04326+098 373104594
J04329+001E 452782929
J04329+001N 452782926
J04329+001S 452782927
J04333+239 268397675
J04335+207 61258139
J04347-004 138775756
J04350+086 373136578
J04352-161 117733581
J04366+112 373190666
J04369+593 9486512
J04369-162 117748478
J04373+193 118593279
J04376+528 274545692
J04376-024 298812498
J04376-110 55997717
J04382+282 125884499
J04386-115 56001828
J04388+217 118677743
J04393+335 408601710
J04395+162 ...
J04398+251 150059020
J04403-055 298907057
J04404-091 56096602
J04407+022 256873400
J04413+327 408735877
J04414+132 245948461
J04422+577 9896079
J04423+207 61281764
J04425+204 61281968
J04429+095 373318396
J04429+189 ...
J04429+214 397356212
J04433+296 125920524
J04444+278 125979876
J04458-144 117937826
J04468-112 146819340
J04471+021 457195191
J04472+206 238413768
J04480+170 436633864
J04488+100 399618009
J04494+484 286520195
J04499+236 18644870
J04499+711 281571049
J04502+459 21042633
J04504+199 18684004
J04508+221 ...
J04508+261 ...
J04520+064 450102450
J04524-168 246897668
J04525+407 ...
J04536+623 66403082
J04538+158 436678563
J04538-177 246902275
J04544+650 66406934
J04559+046 262501617
J04560+432 446098056
J04587+509 354430548
J04588+498 354432728
J04595+017 452763353
J05012+248 308565043
J05013+226 69051805
J05018+037 269076634
J05019+011 269077806
J05019+099 450060052
J05019-069 43605290
J05024-212 146438424
J05030+213 69092700
J05032+213 69148528
J05033-173 169304560
J05034+531 ...
J05042+110 415508270
J05050+442 261075502
J05051-120 169344643
J05060+043 455030131
J05062+046 455029978
J05068-215E 146522418
J05068-215W 146522419
J05072+375 122482227
J05076+275 69526865
J05078+179 27137427
J05083+756 140865718
J05084-210 146539195
J05085-181 ...
J05091+154 293769522
J05103+095 471011460
J05103+272 ...
J05103+488 327878547
J05106+297 69912980
J05109+186 ...
J05111+158 293894139
J05114+101 471011461
J05127+196 467611768
J05151-073 231311876
J05152+236 337605681
J05155+591 87302025
J05173+321 2102868
J05173+458 ...
J05173+721 140967325
J05187+464 98615312
J05195+649 82970146
J05206+587N 284119492
J05206+587S 284119489
J05211+557 320679914
J05223+305 2848024
J05226+795 142103354
J05228+202 6418456
J05243-160 442932272
J05256-091 24720349
J05280+096 471011469
J05282+029 464838615
J05289+125 302537170
J05294+155E 302608071
J05294+155W 302608073
J05298+320 ...
J05298-034 50659288
J05306+152 302675684
J05314-036 50726077
J05320-030 50745582
J05322+098 200525363
J05328+338 ...
J05333+448 268171869
J05337+019 220044948
J05339-023 427346731
J05341+475 268177209
J05341+512 310526844
J05342+103N 436013452
J05342+103S 436013451
J05348+138 52373734
J05360-076 388934726
J05365+113 436248822
J05366+112 436248798
J05394+406 ...
J05394+747 418343229
J05402+126 127227316
J05404+248 75326630
J05415+534 471011475
J05419+153 247439806
J05421+124 ...
J05422-054 471012323
J05425+154 247469525
J05455-119 317089863
J05456+729 313193944
J05458+729 313193935
J05466+441 273859476
J05468+665 400028752
J05471-052 471012390
J05472-000 176469654
J05484+077 156428158
J05511+122 247869954
J05530+047 159032760
J05530+251 77890492
J05532+242 ...
J05547+109 139646768
J05558+406 354389220
J05566-103 67160409
J05587+259 79042694
J05588+213 269620627
J05596+585 53186913
J05599+585 53255031
J06000+027 282501711
J06007+681 ...
J06008+681 ...
J06011+595 ...
J06017+130 97814880
J06023-203 123849672
J06024+498 467119250
J06024+663 99540776
J06025+371 174765774
J06034+478 440478045
J06035+155 151061668
J06035+168 151058955
J06039+261 ...
J06054+608 71038757
J06066+465 440529246
J06071+335 309443268
J06075+472 440559522
J06097+001 232331928
J06102+225 45542345
J06103+225 45542346
J06103+722 138120958
J06103+821 ...
J06105+024 232369923
J06105-218 124279525
J06107+259 ...
J06109+103 229264027
J06140+516 241217645
J06145+025 232496036
J06151-164 33937232
J06171+051 265361131
J06171+751 138168262
J06171+838 138469142
J06185+250 83382885
J06193-066 443029383
J06194+139 438007268
J06212+442 189882802
J06216+163 385812015
J06217+163 385811977
J06218-227 60178082
J06223+334 138338699
J06236-096 ...
J06237+020 319613729
J06238+456 189941301
J06246+234 430044614
J06258+561 423231062
J06262+238 430213846
J06277+093 206853504
J06293-028 43085522
J06298-027 43149283
J06306+456 190135633
J06307+397 144205041
J06310+500 253011416
J06318+414 144282456
J06322+378 309503744
J06323-097 25192164
J06325+641 55444840
J06345+315 172355389
J06354-040 52495232
J06361+116 220131144
J06361+201 54978541
J06371+175 ...
J06396-210 48523939
J06400+285 284395015
J06401-164 333341630
J06414+157 438496719
J06421+035 233975043
J06422+035 233975064
J06435+166 59725961
J06438+511 252888476
J06447+718 456257128
J06461+325 240153097
J06467+159 372611670
J06474+054 234215979
J06486+532 335460860
J06489+211 57284670
J06490+371 ...
J06509-091 407702728
J06523-051 282210724
J06524+182 57663704
J06540+608 88334764
J06548+332 68581262
J06564+121 386195064
J06564+400 197146229
J06564+759 141466655
J06565+440 192020710
J06574+740 141476700
J06579+623 88384320
J06582+511 252907497
J06594+193 ...
J06594+195 58997854
J06596+057 237864235
J07001-190 80033631
J07009-023 268688836
J07012+008 291202173
J07033+346 165204611
J07034+767 154341239
J07039+527 ...
J07042-105 125646423
J07044+682 417758604
J07047+249 91737974
J07051-101 177122224
J07052+084 262029113
J07076+486 252947361
J07078+672 417760241
J07081-228 81587807
J07086+307 68905799
J07095+698 99571729
J07100+385 321103619
J07102+376 321104193
J07105-087 177927950
J07111+434 ...
J07119+773 441562854
J07121+522 318024584
J07129+357 69048221
J07140+507 318068535
J07163+271 155753765
J07163+331 415692633
J07172-050 471012349
J07174+195 184782039
J07181+392 17808034
J07182+137 440848794
J07195+328 302820286
J07199+840 358015762
J07212+005 319085677
J07227+306 392072325
J07232+460 286841869
J07274+052 318686860
J07274+220 471011530
J07282-187 139654644
J07287-032 ...
J07295+359 18745943
J07307+481 ...
J07310+460 307757953
J07319+362N 471011535
J07319+362S 16034014
J07319+392 16032626
J07320+173E 247128236
J07320+173W 247128235
J07320+686 71233335
J07325+248 94749291
J07342+009 279859945
J07344+629 85208537
J07346+223 70229817
J07346+318 239187696
J07349+147 14768025
J07353+548 355061271
J07354+482 453387110
J07359+785 141688700
J07361-031 65673065
J07364+070 234479593
J07365-006 65751167
J07366+440 373614570
J07383+344 4163109
J07384+240 95077478
J07386-212 ...
J07393+021 280313260
J07395+334 4196732
J07403-174 289113766
J07418+050 274229418
J07421+500 409308138
J07431+181 ...
J07446+035 266744225
J07467+574 53307637
J07470+760 441605415
J07472+503 309661100
J07482+203 ...
J07493+849 150316409
J07497-033 122723085
J07518+055 266194572
J07519-000 471012369
J07523+162 17773418
J07525+063 320477747
J07545+085 358706690
J07545-096 36332877
J07558+833 289972535
J07581+072 271204416
J07582+413 371272665
J07583+496 284113347
J07585+155N 19024558
J07585+155S 19024562
J07590+153 19028197
J07591+173 19029075
J08005+258 171524985
J08017+237 386825419
J08023+033 452866790
J08025-130 332380949
J08031+203 67348666
J08033+528 252974595
J08066+558 80945211
J08068+367 159094260
J08069+422 99097446
J08082+211 386838174
J08083+585 80949569
J08089+328 165818534
J08095+219 471011566
J08103+095 443910815
J08105-138 422124638
J08108+039 453000845
J08117+531 252994289
J08119+087 334415465
J08126-215 471012765
J08158+346 139270134
J08161+013 455139555
J08175+209 ...
J08178+311 139345876
J08202+055 455203457
J08258+690 ...
J08282+201 ...
J08283+350 400730021
J08283+553 81212001
J08286+660 147558728
J08293+039 265130794
J08298+267 ...
J08313-060 51104458
J08313-104 51100039
J08314-060 51104452
J08315+730 312885008
J08316+193N 178246935
J08316+193S 178246933
J08317+057 265206385
J08321+844 328799321
J08325+451 287074951
J08334+185 178278439
J08344-011 121286320
J08353+141 21185269
J08358+680 102885744
J08364+264 117124981
J08364+672 ...
J08371+151 ...
J08375+035 432009594
J08387+516 142165517
J08398+089 443964187
J08402+314 341526939
J08404+184 ...
J08409-234 118608254
J08410+676 102903258
J08413+594 445064836
J08427+095 396742365
J08428+095 396742364
J08443-104 95670818
J08447+182 184899004
J08449-066 95673862
J08517+181 471011592
J08526+283 332064684
J08531-202 410096279
J08536-034 7975441
J08537+149 46364022
J08540-131 347508671
J08551+015 265373654
J08555+664 341591565
J08563+126 437041669
J08570+116 283745924
J08572+194 197247983
J08582+197 197251248
J08589+084 283784587
J08595+537 456334158
J08599+729 207339173
J09003+218 203225829
J09005+465 29168887
J09008+052E 270468250
J09008+052W 270468256
